MSSubClass,MSZoning,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice
60,RL,NoAlley,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,0,150,856,GasA,Ex,Y,SBrkr,856,0,1710,0,2,3,1,Gd,8,Typ,NoFireplace,Attchd,RFn,2,548,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,208500
20,RL,NoAlley,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,1262,1,2,3,1,TA,6,Typ,TA,Attchd,RFn,2,460,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,181500
60,RL,NoAlley,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,0,434,920,GasA,Ex,Y,SBrkr,920,0,1786,0,2,3,1,Gd,6,Typ,TA,Attchd,RFn,2,608,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,223500
70,RL,NoAlley,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,0,540,756,GasA,Gd,Y,SBrkr,961,0,1717,0,1,3,1,Gd,7,Typ,Gd,Detchd,Unf,3,642,TA,TA,Y,272,0,0,0,NoFence,0,WD,Abnorml,140000
60,RL,NoAlley,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,0,490,1145,GasA,Ex,Y,SBrkr,1145,0,2198,0,2,4,1,Gd,9,Typ,TA,Attchd,RFn,3,836,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,250000
50,RL,NoAlley,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,0,64,796,GasA,Ex,Y,SBrkr,796,0,1362,0,1,1,1,TA,5,Typ,NoFireplace,Attchd,Unf,2,480,TA,TA,Y,0,320,0,0,MnPrv,700,WD,Normal,143000
20,RL,NoAlley,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,1694,0,2,3,1,Gd,7,Typ,Gd,Attchd,RFn,2,636,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,307000
60,RL,NoAlley,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,0,2090,0,2,3,1,TA,7,Typ,TA,Attchd,RFn,2,484,TA,TA,Y,228,0,0,0,NoFence,350,WD,Normal,200000
50,RM,NoAlley,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,0,1774,0,2,2,2,TA,8,Min1,TA,Detchd,Unf,2,468,Fa,TA,Y,205,0,0,0,NoFence,0,WD,Abnorml,129900
190,RL,NoAlley,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,0,140,991,GasA,Ex,Y,SBrkr,1077,0,1077,0,1,2,2,TA,5,Typ,TA,Attchd,RFn,1,205,Gd,TA,Y,0,0,0,0,NoFence,0,WD,Normal,118000
20,RL,NoAlley,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,0,1,3,1,TA,5,Typ,NoFireplace,Detchd,Unf,1,384,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,129500
