Id,MSSubClass,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,KitchenQual,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
0,60,CollgCr,7,2003,2003,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,GLQ,856,Ex,856,1710,Gd,NoFireplace,Attchd,2003.0,RFn,2,548,WD,Normal,208500
1,20,Veenker,6,1976,1976,MetalSd,MetalSd,None,TA,CBlock,Gd,Gd,ALQ,1262,Ex,1262,1262,TA,TA,Attchd,1976.0,RFn,2,460,WD,Normal,181500
2,60,CollgCr,7,2001,2002,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,Mn,GLQ,920,Ex,920,1786,Gd,TA,Attchd,2001.0,RFn,2,608,WD,Normal,223500
3,70,Crawfor,7,1915,1970,Wd Sdng,Wd Shng,None,TA,BrkTil,TA,No,ALQ,756,Gd,961,1717,Gd,Gd,Detchd,1998.0,Unf,3,642,WD,Abnorml,140000
4,60,NoRidge,8,2000,2000,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,Av,GLQ,1145,Ex,1145,2198,Gd,TA,Attchd,2000.0,RFn,3,836,WD,Normal,250000
5,50,Mitchel,5,1993,1995,VinylSd,VinylSd,None,TA,Wood,Gd,No,GLQ,796,Ex,796,1362,TA,NoFireplace,Attchd,1993.0,Unf,2,480,WD,Normal,143000
6,20,Somerst,8,2004,2005,VinylSd,VinylSd,Stone,Gd,PConc,Ex,Av,GLQ,1686,Ex,1694,1694,Gd,Gd,Attchd,2004.0,RFn,2,636,WD,Normal,307000
7,60,NWAmes,7,1973,1973,HdBoard,HdBoard,Stone,TA,CBlock,Gd,Mn,ALQ,1107,Ex,1107,2090,TA,TA,Attchd,1973.0,RFn,2,484,WD,Normal,200000
8,50,OldTown,7,1931,1950,BrkFace,Wd Shng,None,TA,BrkTil,TA,No,Unf,952,Gd,1022,1774,TA,TA,Detchd,1931.0,Unf,2,468,WD,Abnorml,129900
9,190,BrkSide,5,1939,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,No,GLQ,991,Ex,1077,1077,TA,TA,Attchd,1939.0,RFn,1,205,WD,Normal,118000
10,20,Sawyer,5,1965,1965,HdBoard,HdBoard,None,TA,CBlock,TA,No,Rec,1040,Ex,1040,1040,TA,NoFireplace,Detchd,1965.0,Unf,1,384,WD,Normal,129500
11,60,NridgHt,9,2005,2006,WdShing,Wd Shng,Stone,Ex,PConc,Ex,No,GLQ,1175,Ex,1182,2324,Ex,Gd,BuiltIn,2005.0,Fin,3,736,New,Partial,345000
12,20,Sawyer,5,1962,1962,HdBoard,Plywood,None,TA,CBlock,TA,No,ALQ,912,TA,912,912,TA,NoFireplace,Detchd,1962.0,Unf,1,352,WD,Normal,144000
13,20,CollgCr,7,2006,2007,VinylSd,VinylSd,Stone,Gd,PConc,Gd,Av,Unf,1494,Ex,1494,1494,Gd,Gd,Attchd,2006.0,RFn,3,840,New,Partial,279500
14,20,NAmes,6,1960,1960,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,No,BLQ,1253,TA,1253,1253,TA,Fa,Attchd,1960.0,RFn,1,352,WD,Normal,157000
15,45,BrkSide,7,1929,2001,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,No,Unf,832,Ex,854,854,TA,NoFireplace,Detchd,1991.0,Unf,2,576,WD,Normal,132000
16,20,NAmes,6,1970,1970,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,No,ALQ,1004,Ex,1004,1004,TA,TA,Attchd,1970.0,Fin,2,480,WD,Normal,149000
17,90,Sawyer,4,1967,1967,MetalSd,MetalSd,None,TA,Slab,NoBsmt,NoBsmt,NoBsmt,0,TA,1296,1296,TA,NoFireplace,CarPort,1967.0,Unf,2,516,WD,Normal,90000
18,20,SawyerW,5,2004,2004,VinylSd,VinylSd,None,TA,PConc,TA,No,GLQ,1114,Ex,1114,1114,Gd,NoFireplace,Detchd,2004.0,Unf,2,576,WD,Normal,159000
19,20,NAmes,5,1958,1965,BrkFace,Plywood,None,TA,CBlock,TA,No,LwQ,1029,TA,1339,1339,TA,NoFireplace,Attchd,1958.0,Unf,1,294,COD,Abnorml,139000
20,60,NridgHt,8,2005,2006,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,Av,Unf,1158,Ex,1158,2376,Gd,Gd,BuiltIn,2005.0,RFn,3,853,New,Partial,325300
